ethnicity,gender,age
caucasian,male,30-39
hispanic,female,30-39
asian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,40-49
caucasian,female,30-39
caucasian,male,40-49
caucasian,male,40-49
caucasian,female,20-29
african,male,40-49
caucasian,male,more than 70
hispanic,male,40-49
caucasian,female,40-49
caucasian,male,20-29
caucasian,female,20-29
asian,male,more than 70
hispanic,female,20-29
caucasian,female,40-49
caucasian,female,40-49
hispanic,male,40-49
caucasian,male,30-39
caucasian,male,40-49
caucasian,male,40-49
hispanic,female,30-39
caucasian,male,30-39
african,female,20-29
hispanic,male,50-59
caucasian,male,40-49
caucasian,female,40-49
caucasian,female,20-29
caucasian,female,30-39
african,male,40-49
caucasian,female,20-29
asian,female,30-39
african,female,30-39
caucasian,male,60-69
caucasian,female,40-49
asian,female,10-19
caucasian,female,0-2
african,male,30-39
asian,female,30-39
asian,female,3-9
caucasian,female,60-69
caucasian,female,20-29
asian,female,30-39
caucasian,female,3-9
caucasian,female,10-19
african,male,20-29
hispanic,female,20-29
caucasian,female,20-29
asian,female,20-29
caucasian,female,10-19
asian,male,3-9
caucasian,female,20-29
caucasian,male,30-39
caucasian,female,20-29
caucasian,male,50-59
asian,female,30-39
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
african,female,40-49
caucasian,female,30-39
caucasian,female,20-29
caucasian,male,30-39
caucasian,female,10-19
caucasian,female,20-29
caucasian,female,20-29
hispanic,female,30-39
caucasian,male,50-59
caucasian,male,40-49
hispanic,male,30-39
caucasian,female,20-29
caucasian,female,10-19
caucasian,female,20-29
caucasian,female,3-9
hispanic,male,30-39
african,female,30-39
caucasian,male,50-59
african,male,20-29
asian,female,20-29
caucasian,male,20-29
asian,female,3-9
caucasian,female,20-29
caucasian,female,20-29
caucasian,male,60-69
caucasian,female,20-29
caucasian,female,3-9
caucasian,male,50-59
caucasian,female,30-39
caucasian,male,30-39
caucasian,female,20-29
african,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,male,30-39
caucasian,male,60-69
asian,female,20-29
caucasian,female,20-29
african,male,60-69
caucasian,female,10-19
caucasian,male,60-69
hispanic,male,40-49
caucasian,male,60-69
caucasian,male,40-49
caucasian,male,30-39
hispanic,male,30-39
hispanic,male,30-39
caucasian,male,30-39
hispanic,male,40-49
caucasian,male,30-39
caucasian,male,30-39
caucasian,male,40-49
caucasian,male,30-39
hispanic,male,30-39
asian,female,50-59
caucasian,male,50-59
hispanic,male,30-39
caucasian,female,20-29
asian,female,20-29
caucasian,male,50-59
hispanic,female,20-29
caucasian,female,30-39
hispanic,female,30-39
caucasian,female,20-29
caucasian,female,20-29
african,female,20-29
caucasian,female,30-39
asian,male,50-59
caucasian,male,30-39
hispanic,male,30-39
caucasian,male,40-49
hispanic,female,30-39
caucasian,male,40-49
caucasian,male,50-59
asian,female,20-29
caucasian,female,3-9
caucasian,female,30-39
caucasian,female,60-69
caucasian,female,10-19
caucasian,female,20-29
asian,female,20-29
caucasian,female,0-2
caucasian,male,40-49
caucasian,female,3-9
caucasian,female,20-29
caucasian,female,more than 70
caucasian,female,20-29
african,female,20-29
indian,male,30-39
caucasian,female,20-29
asian,female,20-29
hispanic,female,20-29
caucasian,female,30-39
asian,female,30-39
caucasian,female,10-19
caucasian,female,20-29
caucasian,female,10-19
asian,female,3-9
caucasian,female,0-2
caucasian,female,3-9
caucasian,female,20-29
caucasian,male,30-39
caucasian,female,20-29
asian,female,30-39
caucasian,female,20-29
african,male,40-49
hispanic,female,20-29
caucasian,female,20-29
caucasian,female,more than 70
caucasian,female,30-39
caucasian,male,20-29
hispanic,male,30-39
caucasian,female,20-29
caucasian,female,30-39
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
hispanic,female,20-29
african,male,60-69
caucasian,male,60-69
caucasian,female,40-49
caucasian,female,10-19
caucasian,male,40-49
asian,female,20-29
hispanic,female,20-29
caucasian,male,20-29
caucasian,female,20-29
caucasian,female,20-29
asian,female,20-29
caucasian,female,20-29
asian,female,10-19
caucasian,male,30-39
asian,male,3-9
caucasian,female,20-29
caucasian,female,0-2
african,female,20-29
african,male,40-49
african,male,20-29
caucasian,female,30-39
hispanic,female,20-29
african,female,40-49
african,female,20-29
asian,female,30-39
caucasian,male,40-49
caucasian,female,20-29
caucasian,female,50-59
caucasian,female,3-9
indian,female,20-29
african,female,20-29
african,male,60-69
african,female,30-39
asian,female,20-29
caucasian,female,40-49
caucasian,female,40-49
asian,male,40-49
caucasian,female,20-29
caucasian,female,30-39
caucasian,female,30-39
caucasian,female,30-39
caucasian,female,0-2
caucasian,female,3-9
caucasian,female,20-29
asian,female,20-29
caucasian,female,3-9
caucasian,female,20-29
hispanic,male,30-39
caucasian,female,20-29
caucasian,female,20-29
african,female,20-29
caucasian,male,40-49
hispanic,female,20-29
asian,male,30-39
caucasian,female,20-29
asian,female,20-29
caucasian,female,20-29
caucasian,female,30-39
caucasian,female,30-39
asian,female,20-29
asian,female,20-29
asian,female,20-29
caucasian,female,20-29
asian,male,30-39
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
african,male,40-49
caucasian,female,40-49
african,female,20-29
caucasian,female,20-29
hispanic,female,20-29
indian,female,30-39
hispanic,female,10-19
african,male,20-29
caucasian,female,3-9
hispanic,male,30-39
hispanic,female,30-39
caucasian,female,20-29
african,male,more than 70
caucasian,male,40-49
hispanic,male,40-49
asian,male,40-49
asian,female,40-49
caucasian,male,40-49
asian,female,20-29
asian,female,40-49
african,male,40-49
african,female,20-29
hispanic,male,40-49
caucasian,female,20-29
caucasian,male,30-39
caucasian,male,40-49
caucasian,female,20-29
hispanic,female,20-29
hispanic,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
asian,female,20-29
hispanic,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,30-39
caucasian,female,20-29
african,female,40-49
caucasian,male,30-39
hispanic,female,20-29
hispanic,female,20-29
hispanic,female,20-29
caucasian,female,20-29
african,female,20-29
asian,female,20-29
caucasian,female,20-29
asian,female,20-29
caucasian,female,10-19
asian,female,3-9
african,female,20-29
asian,female,20-29
hispanic,female,30-39
african,female,3-9
african,female,30-39
african,female,20-29
caucasian,female,30-39
african,male,40-49
hispanic,female,30-39
caucasian,female,20-29
caucasian,female,10-19
african,female,30-39
asian,male,30-39
african,female,50-59
asian,female,20-29
caucasian,female,0-2
hispanic,female,20-29
caucasian,female,10-19
asian,female,10-19
caucasian,male,50-59
caucasian,male,60-69
caucasian,female,60-69
caucasian,female,20-29
hispanic,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,30-39
caucasian,female,20-29
caucasian,female,10-19
caucasian,female,10-19
hispanic,female,30-39
hispanic,female,30-39
caucasian,male,40-49
hispanic,female,20-29
african,female,20-29
caucasian,female,20-29
african,female,20-29
caucasian,female,20-29
hispanic,female,20-29
caucasian,female,10-19
hispanic,female,20-29
hispanic,male,60-69
hispanic,male,40-49
caucasian,female,10-19
caucasian,male,30-39
caucasian,female,3-9
asian,female,20-29
caucasian,male,40-49
hispanic,female,20-29
african,female,20-29
caucasian,female,20-29
caucasian,female,20-29
caucasian,female,20-29
